center_lat,center_lon,end_date,flood_id,primary_country,severity,start_date
-21.556277,116.975387,1078790400000,2444,Australia,2.0,1078099200000
-19.186526,34.557547,1079654400000,2448,Mozambique,1.0,1078444800000
37.156236,-95.963498,1078704000000,2455,USA,1.0,1078358400000
-13.874954,143.298865,1080345600000,2458,Australia,1.0,1079654400000
45.28903,18.025087,1080950400000,2460,Bosnia-Herzegovina,1.0,1080000000000
-21.403326,120.060096,1080950400000,2461,Australia,1.0,1080345600000
48.162017,-97.999353,1081641600000,2462,USA,2.0,1080432000000
53.473921,34.484838,1083715200000,2463,Russia,1.0,1080604800000
44.866138,17.774912,1083456000000,2469,Bosnia-Herzegovina,1.0,1081728000000
51.975446,86.61021,1084665600000,2471,Russia,1.0,1081900800000
24.894242,91.694661,1083542400000,2473,Bangladesh,1.0,1081900800000
35.749552,-93.279256,1083456000000,2476,USA,1.0,1082764800000
-0.527894,116.827676,1084233600000,2480,Indonesia,1.0,1083888000000
30.845334,-96.516582,1084579200000,2482,USA,1.0,1084406400000
37.952597,-121.357441,1097452800000,2491,USA,1.0,1086220800000
7.229665,-67.795332,1096588800000,2495,Venezuela,1.0,1086652800000
43.475162,-88.719498,1087776000000,2498,USA,2.0,1086825600000
25.498908,85.891802,1097107200000,2507,India,2.0,1087689600000
13.113306,-84.892717,1090281600000,2510,Nicaragua,1.0,1088035200000
7.377152,124.576171,1088553600000,2514,Philippines,1.0,1088380800000
28.863679,104.833562,1088553600000,2515,China,1.0,1088380800000
17.503304,121.410242,1089676800000,2516,Philippines,2.0,1088467200000
27.086351,86.252493,1092182400000,2519,Nepal,1.0,1088985600000
24.001405,110.433067,1090886400000,2522,China,1.0,1089763200000
27.875808,110.828548,1091145600000,2527,China,2.0,1090022400000
7.021074,124.577333,1092355200000,2539,Philippines,1.0,1091232000000
15.397299,103.073488,1096761600000,2543,Thailand,2.0,1091750400000
15.547408,120.754097,1094947200000,2554,Philippines,2.0,1093305600000
10.317911,105.823877,1098316800000,2555,Vietnam,1.0,1093305600000
43.372592,-92.899794,1095552000000,2565,USA,1.0,1095206400000
28.800636,-81.966354,1096588800000,2566,Haiti,1.0,1095206400000
24.686228,89.400194,1098057600000,2570,India,1.0,1097107200000
6.148203,1.223784,1099526400000,2576,Togo,2.0,1097107200000
29.99695,-97.481761,1101686400000,2584,USA,1.0,1100476800000
-26.543492,-57.505862,1103068800000,2586,Paraguay,1.0,1099785600000
13.431255,123.386648,1101686400000,2587,Philippines,1.0,1100822400000
8.914445,-72.364885,1101513600000,2588,Venezulea,1.0,1100908800000
16.388864,121.706238,1101600000000,2589,Philippines,1.0,1101168000000
15.17884,121.242952,1103673600000,2592,Philippines,1.0,1101686400000
-27.1808,-60.665987,1102636800000,2596,Argentina,1.0,1102291200000
33.962964,-89.570347,1103500800000,2597,USA,1.0,1102377600000
-29.136849,150.129614,1103673600000,2598,Australia,1.0,1102464000000
28.426123,51.70111,1104537600000,2599,Iran,1.0,1102550400000
6.271562,101.591644,1103328000000,2600,Malaysia,2.0,1102636800000
7.938183,81.314727,1103760000000,2601,Sri Lanka,1.0,1102723200000
38.210619,-85.352387,1107216000000,2606,USA,2.0,1104883200000
-3.903543,104.432036,1107993600000,2612,Indonesia,1.0,1105401600000
6.60784,-58.038278,1109289600000,2613,Guyana,2.0,1105747200000
-10.734049,17.166651,1111968000000,2620,Angola,1.0,1106784000000
7.588343,-72.964625,1109376000000,2625,Colombia,1.0,1108080000000
41.428248,26.418711,1111622400000,2626,Greece,2.0,1108598400000
-6.958962,107.602907,1109289600000,2627,Indonesia,1.0,1108771200000
43.595357,66.981834,1111536000000,2629,Kazakhstan,1.0,1109203200000
30.738361,61.854599,1112659200000,2632,Afghanistan,1.0,1109980800000
-17.759816,48.283399,1110844800000,2633,Madagascar,1.0,1109721600000
24.211993,3.953441,1110326400000,2634,Algeria,1.0,1110067200000
32.958879,46.294021,1111708800000,2637,Iraq,1.0,1110672000000
-10.587124,31.114588,1112313600000,2638,Zambia,1.0,1109635200000
50.511062,21.658575,1112918400000,2640,Poland,1.0,1111017600000
29.518224,68.372412,1111622400000,2641,Pakistan,1.0,1111276800000
45.6965,21.212857,1117843200000,2648,Romania,2.0,1113782400000
6.272302,43.286087,1118707200000,2649,Ethiopia,2.0,1114214400000
42.648654,41.55217,1117411200000,2650,Georgia,1.0,1114387200000
24.598004,91.64239,1117238400000,2657,Bangladesh,1.0,1116979200000
44.319638,129.266053,1118534400000,2668,China,2.0,1118361600000
22.802656,120.344936,1118966400000,2669,Taiwan,2.0,1118448000000
34.272003,71.507633,1123200000000,2675,Pakistan,2.0,1119312000000
25.961407,89.11453,1120089600000,2676,Bangladesh,1.0,1119484800000
21.43303,73.07388,1121385600000,2680,India,2.0,1119916800000
-28.519498,153.288976,1120348800000,2683,Australia,1.0,1120089600000
30.676575,103.519078,1121731200000,2684,China,1.0,1119916800000
39.728164,126.498861,1120262400000,2685,North Korea,1.0,1120089600000
24.128785,80.199902,1121385600000,2686,India,1.0,1120262400000
44.562689,125.500543,1123804800000,2688,China,1.0,1120176000000
30.922991,73.563738,1123977600000,2689,Pakistan,1.0,1120521600000
27.436259,87.012599,1122422400000,2690,India,1.0,1120694400000
45.764753,27.862878,1122508800000,2692,Romania,2.0,1121126400000
32.605462,115.759987,1121644800000,2693,China,1.0,1120953600000
28.120285,120.855737,1121817600000,2694,Taiwan,1.0,1121472000000
16.977232,79.965416,1124150400000,2698,India,1.0,1122076800000
10.409698,122.905219,1122681600000,2699,Philippines,1.0,1122422400000
19.068486,99.369102,1127692800000,2709,Thailand,2.0,1123891200000
41.858282,123.069642,1124496000000,2711,China,1.0,1123891200000
18.811618,-98.657793,1125360000000,2717,Mexico,1.0,1124582400000
25.885963,83.211491,1125360000000,2718,India,1.0,1125014400000
