date,percentile,variable,income
2022-01-01,63,minimum,8011
2022-01-01,64,minimum,8181
2022-01-01,65,minimum,8339
2022-01-01,66,minimum,8523
2022-01-01,67,minimum,8697
2022-01-01,68,minimum,8875
2022-01-01,69,minimum,9054
2022-01-01,70,minimum,9260
2022-01-01,71,minimum,9449
2022-01-01,72,minimum,9659
2022-01-01,73,minimum,9880
2022-01-01,74,minimum,10094
2022-01-01,75,minimum,10318
2022-01-01,76,minimum,10552
2022-01-01,77,minimum,10776
2022-01-01,78,minimum,11038
2022-01-01,79,minimum,11283
2022-01-01,80,minimum,11539
2022-01-01,81,minimum,11819
2022-01-01,82,minimum,12104
2022-01-01,83,minimum,12395
2022-01-01,84,minimum,12733
2022-01-01,85,minimum,13113
2022-01-01,86,minimum,13475
2022-01-01,87,minimum,13859
2022-01-01,88,minimum,14304
2022-01-01,89,minimum,14766
2022-01-01,90,minimum,15300
2022-01-01,91,minimum,15868
2022-01-01,92,minimum,16533
2022-01-01,93,minimum,17325
2022-01-01,94,minimum,18294
2022-01-01,95,minimum,19468
2022-01-01,96,minimum,20776
2022-01-01,97,minimum,22575
2022-01-01,98,minimum,25017
2022-01-01,99,minimum,29029
2022-01-01,100,minimum,37583
2019-01-01,1,maximum,1141
2019-01-01,2,maximum,1459
2019-01-01,3,maximum,1641
2019-01-01,4,maximum,1789
2019-01-01,5,maximum,1928
2019-01-01,6,maximum,2054
2019-01-01,7,maximum,2165
2019-01-01,8,maximum,2282
2019-01-01,9,maximum,2395
2019-01-01,10,maximum,2499
2019-01-01,11,maximum,2547
2019-01-01,12,maximum,2594
2019-01-01,13,maximum,2653
2019-01-01,14,maximum,2709
2019-01-01,15,maximum,2785
2019-01-01,16,maximum,2861
2019-01-01,17,maximum,2940
2019-01-01,18,maximum,3014
2019-01-01,19,maximum,3089
2019-01-01,20,maximum,3169
2019-01-01,21,maximum,3244
2019-01-01,22,maximum,3322
2019-01-01,23,maximum,3399
2019-01-01,24,maximum,3477
2019-01-01,25,maximum,3555
2019-01-01,26,maximum,3638
2019-01-01,27,maximum,3715
2019-01-01,28,maximum,3799
2019-01-01,29,maximum,3888
2019-01-01,30,maximum,3969
2019-01-01,31,maximum,4055
2019-01-01,32,maximum,4132
2019-01-01,33,maximum,4218
2019-01-01,34,maximum,4302
2019-01-01,35,maximum,4386
2019-01-01,36,maximum,4474
2019-01-01,37,maximum,4568
2019-01-01,38,maximum,4658
2019-01-01,39,maximum,4747
2019-01-01,40,maximum,4849
2019-01-01,41,maximum,4944
2019-01-01,42,maximum,5033
2019-01-01,43,maximum,5130
2019-01-01,44,maximum,5232
2019-01-01,45,maximum,5335
2019-01-01,46,maximum,5443
2019-01-01,47,maximum,5547
2019-01-01,48,maximum,5655
2019-01-01,49,maximum,5765
2019-01-01,50,maximum,5879
2019-01-01,51,maximum,5988
2019-01-01,52,maximum,6102
2019-01-01,53,maximum,6230
2019-01-01,54,maximum,6351
2019-01-01,55,maximum,6470
2019-01-01,56,maximum,6594
2019-01-01,57,maximum,6722
2019-01-01,58,maximum,6845
2019-01-01,59,maximum,6969
2019-01-01,60,maximum,7109
2019-01-01,61,maximum,7226
2019-01-01,62,maximum,7367
2019-01-01,63,maximum,7511
2019-01-01,64,maximum,7661
2019-01-01,65,maximum,7827
2019-01-01,66,maximum,7978
2019-01-01,67,maximum,8145
2019-01-01,68,maximum,8306
2019-01-01,69,maximum,8491
2019-01-01,70,maximum,8699
2019-01-01,71,maximum,8851
2019-01-01,72,maximum,9049
2019-01-01,73,maximum,9248
2019-01-01,74,maximum,9467
2019-01-01,75,maximum,9694
2019-01-01,76,maximum,9932
2019-01-01,77,maximum,10165
2019-01-01,78,maximum,10414
2019-01-01,79,maximum,10669
2019-01-01,80,maximum,10959
2019-01-01,81,maximum,11236
