area,center_lat,center_lon,dead,displaced,end_date,id,main_cause,primary_country,severity,start_date
13291472447.503906,-10.439194,18.014563,0,0,1045699200000,DFO_2162_From_20030206_to_20030220,Heavy rain,Angola,1.0,1044489600000
14646287171.566406,31.463349,-90.065158,1,0,1047859200000,DFO_2167_From_20030222_to_20030317,Heavy rain,USA,1.0,1045872000000
1076747076.2539062,43.302177,-1.165927,1,0,1045094400000,DFO_2169_From_20030205_to_20030213,Heavy rain,Spain,1.0,1044403200000
15852957882.746094,-29.212829,138.397895,0,0,1048464000000,DFO_2170_From_20030222_to_20030324,Heavy rain,Australia,1.0,1045872000000
1276903478.4726562,39.608875,22.223743,0,0,1044576000000,DFO_2172_From_20030127_to_20030207,Heavy rain,Greece,1.0,1043625600000
4624451821.886719,-11.878068,-50.481932,0,0,1050969600000,DFO_2173_From_20030111_to_20030422,Rainy Season,Brazil,1.0,1042243200000
2849930335.1835938,41.591029,26.714824,0,0,1046649600000,DFO_2174_From_20030117_to_20030303,Heavy rain,Turkey,1.0,1042761600000
2252635510.2851562,38.089335,28.31203,0,0,1047427200000,DFO_2175_From_20030204_to_20030312,Heavy rain,Turkey,1.0,1044316800000
1919965463.5742188,-17.970507,124.222901,0,0,1047340800000,DFO_2176_From_20030302_to_20030311,Heavy rain,Australia,1.0,1046563200000
1959520786.9804688,37.41102,-88.017873,0,0,1046995200000,DFO_2177_From_20030226_to_20030307,Heavy rain,USA,1.0,1046217600000
907703821.4296875,-21.37826,32.664524,8,8300,1047772800000,DFO_2178_From_20030305_to_20030316,Heavy rain,Mozambique,1.0,1046822400000
410161344.24609375,41.834366,-1.035382,0,0,1047254400000,DFO_2179_From_20030227_to_20030310,Heavy rain,Spain,1.0,1046304000000
6420812446.105469,-14.085462,133.126397,0,0,1047859200000,DFO_2180_From_20030307_to_20030317,Heavy rain,Australia,1.0,1046995200000
416150397.296875,-16.066257,27.689975,0,6400,1047686400000,DFO_2181_From_20030311_to_20030315,Heavy rain,Zambia,2.0,1047340800000
5796993421.6953125,47.715919,-104.728709,0,0,1048204800000,DFO_2182_From_20030317_to_20030321,Ice Jams,USA,1.0,1047859200000
5149683209.191406,35.151636,-81.775621,0,0,1049068800000,DFO_2183_From_20030319_to_20030331,Heavy rain,USA,1.0,1048032000000
9916548247.960938,48.240995,33.319354,0,130,1049414400000,DFO_2187_From_20030322_to_20030404,Snow Melt,Ukraine,1.0,1048291200000
3479725736.5625,44.383722,133.05758,0,0,1050019200000,DFO_2191_From_20030325_to_20030411,Snow Melt,Russia,1.0,1048550400000
30478068703.726562,52.57734,25.203028,0,0,1052092800000,DFO_2193_From_20030322_to_20030505,Snow Melt,Belarus,1.0,1048291200000
230298731.28515625,-19.764418,34.90579,2,15000,1048809600000,DFO_2194_From_20030326_to_20030328,Heavy rain,Mozambique,1.0,1048636800000
131908293.80078125,45.104961,-63.985665,2,170,1049328000000,DFO_2198_From_20030331_to_20030403,Rain and Snow Melt,Canada,1.0,1049068800000
2257568578.4492188,40.941743,47.192685,0,0,1054684800000,DFO_2206_From_20030416_to_20030604,Heavy rain,Azerbaijan,1.0,1050451200000
98547696420.61523,55.453563,64.739289,0,0,1054080000000,DFO_2208_From_20030416_to_20030528,Snowmelt,Russia,1.0,1050451200000
22479705684.86328,52.553105,35.708239,0,600,1053216000000,DFO_2209_From_20030415_to_20030518,Snowmelt,Russia,1.0,1050364800000
54899779602.71875,57.820476,79.316216,0,500,1052784000000,DFO_2214_From_20030423_to_20030513,Snowmelt,Russia,1.0,1051056000000
23105724027.941406,-31.579077,-60.497122,24,161500,1052524800000,DFO_2216_From_20030428_to_20030510,Heavy rain,Argentina,2.0,1051488000000
571630688.3125,-4.402145,143.695571,0,0,1052006400000,DFO_2220_From_20030414_to_20030504,Heavy rain,Papua New Guinea,1.0,1050278400000
10029431126.470703,63.531266,42.394583,0,1600,1053043200000,DFO_2221_From_20030501_to_20030516,Snowmelt,Russia,1.0,1051747200000
403351339.80859375,-1.503825,103.543957,0,2000,1052179200000,DFO_2222_From_20030503_to_20030506,Heavy rain,Indonesia,1.0,1051920000000
207479085.359375,5.371116,44.63536,106,111000,1053388800000,DFO_2224_From_20030504_to_20030520,Heavy rain,Ethiopia,1.0,1052006400000
20116893068.179688,35.214217,-85.484459,3,2000,1052870400000,DFO_2225_From_20030506_to_20030514,Heavy rain,USA,2.0,1052179200000
25424897724.785156,62.878733,128.129536,0,400,1056067200000,DFO_2238_From_20030527_to_20030620,Snowmelt,Russia,1.0,1053993600000
80885724483.07422,26.170616,90.853814,600,9500000,1065744000000,DFO_2248_From_20030611_to_20031010,Monsoonal rain,Bangladesh,2.0,1055289600000
3175635267.046875,38.357408,-82.363306,7,1500,1055980800000,DFO_2253_From_20030613_to_20030619,Heavy rain,USA,1.0,1055462400000
1540296252.5742188,21.923872,91.932656,55,20000,1057190400000,DFO_2257_From_20030619_to_20030703,Monsoonal rain,Bangladesh,1.0,1055980800000
15663214741.730469,28.83099,118.401191,430,1500000,1059350400000,DFO_2261_From_20030623_to_20030728,Heavy rain,China,1.0,1056326400000
568370769.2773438,7.043913,124.376833,2,10000,1056585600000,DFO_2264_From_20030625_to_20030626,Heavy rain,Philippines,1.0,1056499200000
8302346033.3828125,32.51656,115.717939,18,1600000,1060214400000,DFO_2269_From_20030701_to_20030807,Heavy rain,China,2.0,1057017600000
765058735.90625,39.788686,-85.976116,3,1200,1058745600000,DFO_2273_From_20030705_to_20030721,Heavy rain,USA,2.0,1057363200000
11328220744.636719,20.574716,95.503476,0,0,1062374400000,DFO_2276_From_20030702_to_20030901,Monsoonal rain,Burma,1.0,1057104000000
37878566967.71094,28.731898,72.2101,285,900000,1062374400000,DFO_2279_From_20030715_to_20030901,Monsoonal rain,Pakistan,1.0,1058227200000
464539695.0546875,16.501894,121.26678,22,20000,1058918400000,DFO_2284_From_20030719_to_20030723,Tropical Cyclone,Philippines,1.0,1058572800000
13836327998.046875,47.943961,124.701838,0,1000,1065744000000,DFO_2296_From_20030727_to_20031010,Heavy rain,China,1.0,1059264000000
6827497533.175781,10.996461,20.249655,0,0,1067731200000,DFO_2303_From_20030803_to_20031102,Heavy rain,Chad,1.0,1059868800000
4004059938.1445312,12.394812,4.735272,7,10000,1065916800000,DFO_2311_From_20030805_to_20031012,Heavy rain,Nigeria,1.0,1060041600000
726736155.8554688,12.63425,10.012759,7,10000,1065916800000,DFO_2314_From_20030805_to_20031012,Heavy rain,Nigeria,1.0,1060041600000
4186610325.8320312,15.939171,-12.940183,10,5300,1067990400000,DFO_2316_From_20030809_to_20031105,Heavy rain,Senegal,1.0,1060387200000
7291218065.109375,14.211698,-3.10202,31,10000,1066521600000,DFO_2320_From_20030810_to_20031019,Heavy rain,Mali,1.0,1060473600000
73516899.9375,-41.693254,147.481311,0,0,1061942400000,DFO_2330_From_20030824_to_20030827,Heavy rain,Australia,2.0,1061683200000
17813479458.79297,35.681249,107.984942,123,670000,1068595200000,DFO_2332_From_20030824_to_20031112,Heavy rain,China,2.0,1061683200000
1152148311.34375,44.70018,44.369848,0,200,1062115200000,DFO_2336_From_20030827_to_20030829,Brief torrential rain,Russia,1.0,1061942400000
6383013932.089844,30.031634,103.018185,17,0,1062201600000,DFO_2337_From_20030826_to_20030830,Heavy rain,China,1.0,1061856000000
9085044957.632812,20.625759,85.893641,67,3000000,1066608000000,DFO_2338_From_20030827_to_20031020,Monsoonal rain,India,1.0,1061942400000
206012478.90625,39.734374,-86.61734,1,500,1063065600000,DFO_2342_From_20030901_to_20030909,Heavy rain,USA,2.0,1062374400000
3316532084.1953125,10.514296,7.48686,16,210000,1067299200000,DFO_2345_From_20030905_to_20031028,Heavy rain,Nigeria,1.0,1062720000000
10742057952.925781,17.372818,101.592527,7,10000,1065916800000,DFO_2347_From_20030912_to_20031012,Monsoonal rain,Thailand,1.0,1063324800000
209337362.859375,35.234941,128.019188,127,9000,1063584000000,DFO_2348_From_20030912_to_20030915,Tropical Cyclone,South Korea,1.0,1063324800000
4152364408.7695312,23.605828,-110.095624,2,6000,1064966400000,DFO_2356_From_20030922_to_20031001,Tropical Cyclone,Mexico,1.0,1064188800000
258441997.83203125,43.723115,4.157209,1,30,1064275200000,DFO_2359_From_20030922_to_20030923,Brief torrential rain,France,1.0,1064188800000
2171718141.5859375,8.877517,11.923531,28,1000,1065744000000,DFO_2361_From_20030922_to_20031010,Heavy rain,Nigeria,1.0,1064188800000
2440437170.15625,27.63037,-99.205473,0,50,1066953600000,DFO_2366_From_20031012_to_20031024,Heavy rain,USA,2.0,1065916800000
1528985632.6679688,14.767484,108.846404,52,40000,1066780800000,DFO_2368_From_20031015_to_20031022,Heavy rain,Vietnam,1.0,1066176000000
10699471150.832031,12.559171,99.789967,3,3000,1067904000000,DFO_2370_From_20031017_to_20031104,Monsoonal rain,Thailand,2.0,1066348800000
732243493.28125,-29.928802,-53.268681,0,0,1067558400000,DFO_2372_From_20031027_to_20031031,Heavy rain,Brazil,1.0,1067212800000
269032025.3203125,19.479425,-70.982583,12,48000,1069804800000,DFO_2380_From_20031110_to_20031126,Heavy rain,Haiti,1.0,1068422400000
6071118735.3046875,-32.712168,-61.685982,12,900,1068681600000,DFO_2381_From_20031111_to_20031113,Heavy rain,Argentina,1.0,1068508800000
1256896770.0234375,37.091158,-6.249491,3,0,1074384000000,DFO_2386_From_20031101_to_20040118,Heavy rain,Spain,1.0,1067644800000
2366661326.5234375,44.821672,4.940849,9,27000,1071014400000,DFO_2395_From_20031201_to_20031210,Heavy rain,France,2.0,1070236800000
3466901696.1601562,-1.041628,102.901561,148,350000,1074816000000,DFO_2403_From_20031210_to_20040123,Heavy rain,Indonesia,2.0,1071014400000
1125469077.4023438,8.881978,125.765745,200,97500,1073433600000,DFO_2407_From_20031219_to_20040107,Heavy rain,Philippines,1.0,1071792000000
3317147436.3554688,38.677006,-85.387751,2,60,1074211200000,DFO_2412_From_20040104_to_20040116,Heavy rain,USA,1.0,1073174400000
7310263668.222656,29.466641,51.439491,6,8000,1074470400000,DFO_2415_From_20040110_to_20040119,Heavy rain,Iran,1.0,1073692800000
12621102384.4375,-19.171139,141.147792,0,3400,1077667200000,DFO_2417_From_20040114_to_20040225,Monsoonal rain,Australia,2.0,1074038400000
217637753.1640625,-25.398999,32.868116,2,0,1076025600000,DFO_2423_From_20040125_to_20040206,Heavy rain,Mozambique,1.0,1074988800000
145298900.8359375,-41.406343,147.369055,0,0,1075939200000,DFO_2424_From_20040129_to_20040205,Heavy rain,Australia,2.0,1075334400000
1124206662.6679688,-16.048042,15.226178,0,0,1078099200000,DFO_2425_From_20040127_to_20040301,Heavy rain,Angola,1.0,1075161600000
19004530736.183594,45.180885,63.756115,0,2000,1078185600000,DFO_2426_From_20040130_to_20040302,"Dam/Levy, break or release",Kazakhstan,1.0,1075420800000
1614134018.3144531,53.132767,-3.781964,0,0,1076112000000,DFO_2428_From_20040203_to_20040207,Rain and snowmelt,UK,1.0,1075766400000
30425215548.433594,-14.561533,21.427401,10,40000,1086134400000,DFO_2430_From_20040201_to_20040602,Heavy rain,Namibia,2.0,1075593600000
2776910862.6367188,-17.482511,44.642355,6,18000,1077235200000,DFO_2431_From_20040108_to_20040220,Heavy rain,Madagascar,1.0,1073520000000
15807925490.726562,30.840634,46.162687,0,0,1077667200000,DFO_2432_From_20040116_to_20040225,Heavy rain,Iraq,1.0,1074211200000
2407582181.3476562,38.156763,27.983815,0,0,1076716800000,DFO_2433_From_20040124_to_20040214,Heavy rain,Turkey,1.0,1074902400000
806938493.25,8.22929,125.744039,7,20000,1077667200000,DFO_2434_From_20040211_to_20040225,Heavy rain,Philippines,1.0,1076457600000
825571096.9101562,-6.409578,108.143784,0,4000,1077667200000,DFO_2437_From_20040217_to_20040225,Heavy rain,Indonesia,1.0,1076976000000
23202278196.414062,-11.878068,-50.481932,0,0,1083715200000,DFO_2440_From_20040211_to_20040505,Heavy rain,Brazil,1.0,1076457600000
9766781328.101562,-16.976898,134.693836,0,0,1078876800000,DFO_2441_From_20040218_to_20040310,Heavy rain,Australia,1.0,1077062400000
2652498734.8085938,-17.94512,124.624336,0,0,1078617600000,DFO_2442_From_20040220_to_20040307,Heavy rain,Australia,1.0,1077235200000
